Implementation | Threads | Avg Time (ms) | Avg testAndSet() calls
---------------|---------|---------------|-----------------------
TASLock        |       2 |        448.00 | 13723761.20
TASLock        |       4 |        843.20 | 21479995.20
TASLock        |       8 |       1288.60 | 38916781.80
TASLock        |      16 |       2172.40 | 66298965.00
TASLock        |      32 |       3303.00 | 105380294.00
TTASLock       |       2 |        426.40 | 9374583.40
TTASLock       |       4 |        846.20 | 11913883.40
TTASLock       |       8 |       1431.60 | 13269179.80
TTASLock       |      16 |       2254.00 | 12638362.80
TTASLock       |      32 |       2822.40 | 11315441.60
